nome,telefone,email,genero,segmento,tamanho,areaProduto,funcao,estrategiaMarketing,ia,estrategiaAtendimento,aumentoProdutividade,comunicacao,ambienteIntegrado,capacitacao,reducaoCusto,conversao,vendas,ferramentas,timeVendas,estrategiaEmpresa,marca,jornada,marketingOportunidade,produto_sugerido
Cliente 106,(11) 947407771,cliente106@exemplo.com,Masculino,B,Pequeno,Área 2,Função 2,Estrategia A,Sim,Proativa,Sim,Regular,Não,Sim,Sim,Não,456,Ferramenta A,Time 1,Estrategia 2,Marca B,Jornada 2,Não,Produto 2
Cliente 107,(11) 993122310,cliente107@exemplo.com,Masculino,C,Grande,Área 3,Função 2,Estrategia B,Sim,Reativa,Sim,Boa,Não,Sim,Não,Sim,641,Ferramenta C,Time 2,Estrategia 2,Marca B,Jornada 2,Sim,Produto 3
Cliente 108,(11) 937009224,cliente108@exemplo.com,Feminino,A,Grande,Área 3,Função 2,Estrategia A,Não,Proativa,Sim,Boa,Sim,Não,Não,Não,860,Ferramenta C,Time 2,Estrategia 1,Marca B,Jornada 2,Sim,Produto 1
Cliente 109,(11) 961327755,cliente109@exemplo.com,Feminino,A,Médio,Área 1,Função 3,Estrategia B,Não,Proativa,Sim,Boa,Sim,Não,Não,Sim,132,Ferramenta B,Time 2,Estrategia 1,Marca B,Jornada 1,Não,Produto 1
Cliente 110,(11) 989018913,cliente110@exemplo.com,Masculino,B,Pequeno,Área 3,Função 3,Estrategia B,Sim,Proativa,Sim,Regular,Não,Sim,Sim,Não,328,Ferramenta B,Time 1,Estrategia 2,Marca A,Jornada 1,Não,Produto 2
Cliente 111,(11) 917130144,cliente111@exemplo.com,Feminino,B,Pequeno,Área 1,Função 2,Estrategia B,Sim,Reativa,Sim,Boa,Sim,Não,Sim,Não,623,Ferramenta A,Time 1,Estrategia 1,Marca B,Jornada 1,Sim,Produto 2
Cliente 112,(11) 914545583,cliente112@exemplo.com,Masculino,B,Médio,Área 2,Função 1,Estrategia B,Não,Proativa,Não,Regular,Não,Não,Sim,Sim,729,Ferramenta B,Time 2,Estrategia 2,Marca B,Jornada 1,Sim,Produto 2
Cliente 113,(11) 964079037,cliente113@exemplo.com,Feminino,C,Grande,Área 1,Função 3,Estrategia B,Sim,Reativa,Não,Ruim,Não,Sim,Não,Sim,961,Ferramenta B,Time 1,Estrategia 2,Marca B,Jornada 1,Sim,Produto 3
Cliente 114,(11) 964474455,cliente114@exemplo.com,Masculino,A,Médio,Área 3,Função 1,Estrategia B,Sim,Reativa,Não,Boa,Sim,Sim,Não,Sim,254,Ferramenta C,Time 1,Estrategia 2,Marca A,Jornada 1,Sim,Produto 1
Cliente 115,(11) 951542436,cliente115@exemplo.com,Masculino,A,Grande,Área 2,Função 3,Estrategia B,Sim,Proativa,Sim,Regular,Não,Não,Sim,Sim,522,Ferramenta B,Time 1,Estrategia 1,Marca B,Jornada 2,Não,Produto 1
Cliente 116,(11) 956626914,cliente116@exemplo.com,Masculino,C,Pequeno,Área 1,Função 2,Estrategia A,Sim,Proativa,Sim,Regular,Sim,Sim,Sim,Não,345,Ferramenta A,Time 1,Estrategia 2,Marca B,Jornada 1,Não,Produto 3
Cliente 117,(11) 963933927,cliente117@exemplo.com,Masculino,A,Grande,Área 1,Função 3,Estrategia A,Sim,Proativa,Não,Boa,Não,Sim,Não,Sim,504,Ferramenta B,Time 1,Estrategia 2,Marca B,Jornada 2,Sim,Produto 1
Cliente 118,(11) 962453338,cliente118@exemplo.com,Masculino,B,Médio,Área 2,Função 2,Estrategia A,Sim,Proativa,Sim,Ruim,Sim,Sim,Não,Não,943,Ferramenta A,Time 2,Estrategia 1,Marca A,Jornada 1,Sim,Produto 2
Cliente 119,(11) 924881728,cliente119@exemplo.com,Masculino,B,Pequeno,Área 2,Função 3,Estrategia B,Não,Reativa,Sim,Regular,Não,Sim,Não,Sim,858,Ferramenta C,Time 1,Estrategia 2,Marca B,Jornada 1,Sim,Produto 2
Cliente 120,(11) 944045666,cliente120@exemplo.com,Feminino,B,Médio,Área 1,Função 2,Estrategia B,Sim,Proativa,Sim,Boa,Não,Sim,Sim,Sim,640,Ferramenta A,Time 1,Estrategia 1,Marca A,Jornada 1,Não,Produto 2
Cliente 121,(11) 922722094,cliente121@exemplo.com,Masculino,A,Médio,Área 3,Função 2,Estrategia B,Sim,Proativa,Sim,Ruim,Sim,Sim,Sim,Não,260,Ferramenta B,Time 1,Estrategia 2,Marca B,Jornada 2,Sim,Produto 1
Cliente 122,(11) 932178434,cliente122@exemplo.com,Feminino,B,Grande,Área 1,Função 2,Estrategia B,Não,Proativa,Sim,Regular,Não,Sim,Sim,Não,846,Ferramenta C,Time 2,Estrategia 1,Marca A,Jornada 1,Sim,Produto 2
Cliente 123,(11) 956321408,cliente123@exemplo.com,Masculino,C,Médio,Área 2,Função 2,Estrategia B,Não,Reativa,Não,Regular,Não,Não,Não,Sim,801,Ferramenta B,Time 2,Estrategia 2,Marca A,Jornada 1,Não,Produto 3
Cliente 124,(11) 922796932,cliente124@exemplo.com,Feminino,C,Grande,Área 1,Função 1,Estrategia B,Não,Proativa,Não,Ruim,Sim,Sim,Não,Não,216,Ferramenta C,Time 2,Estrategia 2,Marca A,Jornada 2,Não,Produto 3
Cliente 125,(11) 984023414,cliente125@exemplo.com,Feminino,A,Pequeno,Área 2,Função 2,Estrategia B,Sim,Proativa,Não,Ruim,Não,Não,Sim,Não,370,Ferramenta C,Time 1,Estrategia 2,Marca B,Jornada 2,Sim,Produto 1
Cliente 126,(11) 936063245,cliente126@exemplo.com,Feminino,C,Grande,Área 2,Função 1,Estrategia A,Não,Reativa,Não,Boa,Sim,Não,Sim,Não,869,Ferramenta B,Time 2,Estrategia 2,Marca A,Jornada 2,Sim,Produto 3
Cliente 127,(11) 949443226,cliente127@exemplo.com,Masculino,C,Pequeno,Área 3,Função 1,Estrategia B,Sim,Reativa,Não,Boa,Não,Não,Não,Não,791,Ferramenta B,Time 2,Estrategia 2,Marca A,Jornada 2,Não,Produto 3
Cliente 128,(11) 983619289,cliente128@exemplo.com,Masculino,A,Grande,Área 2,Função 2,Estrategia A,Sim,Proativa,Sim,Regular,Sim,Sim,Sim,Não,586,Ferramenta C,Time 2,Estrategia 1,Marca A,Jornada 1,Sim,Produto 1
Cliente 129,(11) 917887739,cliente129@exemplo.com,Feminino,B,Médio,Área 2,Função 1,Estrategia A,Sim,Proativa,Sim,Ruim,Não,Sim,Não,Não,984,Ferramenta C,Time 2,Estrategia 1,Marca A,Jornada 2,Sim,Produto 2
Cliente 130,(11) 970736972,cliente130@exemplo.com,Masculino,B,Grande,Área 3,Função 3,Estrategia B,Não,Proativa,Sim,Ruim,Não,Não,Não,Não,271,Ferramenta B,Time 1,Estrategia 2,Marca B,Jornada 1,Não,Produto 2
Cliente 131,(11) 971071026,cliente131@exemplo.com,Feminino,B,Grande,Área 2,Função 2,Estrategia B,Não,Proativa,Sim,Ruim,Não,Sim,Sim,Não,373,Ferramenta A,Time 2,Estrategia 2,Marca B,Jornada 1,Não,Produto 2
Cliente 132,(11) 910769598,cliente132@exemplo.com,Masculino,A,Pequeno,Área 3,Função 1,Estrategia A,Não,Proativa,Não,Regular,Sim,Não,Não,Sim,358,Ferramenta B,Time 2,Estrategia 2,Marca B,Jornada 2,Não,Produto 1
Cliente 133,(11) 999178975,cliente133@exemplo.com,Feminino,C,Médio,Área 3,Função 2,Estrategia A,Não,Reativa,Não,Ruim,Sim,Sim,Sim,Não,234,Ferramenta C,Time 1,Estrategia 1,Marca B,Jornada 1,Sim,Produto 3
Cliente 134,(11) 959007334,cliente134@exemplo.com,Feminino,B,Grande,Área 2,Função 2,Estrategia B,Não,Reativa,Não,Ruim,Sim,Sim,Não,Sim,782,Ferramenta B,Time 1,Estrategia 1,Marca A,Jornada 2,Não,Produto 2
Cliente 135,(11) 938433648,cliente135@exemplo.com,Masculino,B,Médio,Área 2,Função 2,Estrategia B,Sim,Proativa,Sim,Regular,Sim,Não,Não,Não,821,Ferramenta A,Time 2,Estrategia 2,Marca B,Jornada 1,Não,Produto 2
Cliente 136,(11) 917971379,cliente136@exemplo.com,Feminino,A,Grande,Área 1,Função 1,Estrategia A,Sim,Proativa,Não,Boa,Não,Não,Sim,Não,847,Ferramenta B,Time 1,Estrategia 1,Marca A,Jornada 2,Sim,Produto 1
Cliente 137,(11) 913331068,cliente137@exemplo.com,Masculino,B,Grande,Área 3,Função 3,Estrategia B,Sim,Reativa,Sim,Boa,Não,Não,Não,Não,521,Ferramenta C,Time 2,Estrategia 2,Marca B,Jornada 2,Sim,Produto 2
Cliente 138,(11) 946810847,cliente138@exemplo.com,Feminino,A,Médio,Área 1,Função 3,Estrategia B,Sim,Proativa,Não,Regular,Sim,Sim,Sim,Não,520,Ferramenta B,Time 1,Estrategia 2,Marca B,Jornada 2,Não,Produto 1
Cliente 139,(11) 944428803,cliente139@exemplo.com,Feminino,C,Grande,Área 2,Função 1,Estrategia B,Não,Proativa,Não,Ruim,Sim,Não,Sim,Sim,285,Ferramenta C,Time 1,Estrategia 2,Marca B,Jornada 2,Não,Produto 3
Cliente 140,(11) 915654237,cliente140@exemplo.com,Masculino,A,Médio,Área 1,Função 2,Estrategia A,Não,Proativa,Sim,Regular,Sim,Sim,Não,Sim,463,Ferramenta C,Time 2,Estrategia 1,Marca A,Jornada 2,Sim,Produto 1
Cliente 141,(11) 971553124,cliente141@exemplo.com,Masculino,A,Grande,Área 3,Função 1,Estrategia A,Sim,Proativa,Sim,Boa,Não,Sim,Sim,Não,706,Ferramenta B,Time 1,Estrategia 2,Marca B,Jornada 2,Sim,Produto 1
Cliente 142,(11) 955816038,cliente142@exemplo.com,Masculino,A,Pequeno,Área 1,Função 1,Estrategia A,Não,Proativa,Não,Boa,Sim,Sim,Sim,Sim,477,Ferramenta C,Time 2,Estrategia 2,Marca B,Jornada 1,Não,Produto 1
Cliente 143,(11) 927750764,cliente143@exemplo.com,Feminino,A,Médio,Área 3,Função 1,Estrategia B,Não,Reativa,Não,Regular,Sim,Não,Sim,Não,622,Ferramenta C,Time 1,Estrategia 2,Marca B,Jornada 1,Não,Produto 1
Cliente 144,(11) 946898446,cliente144@exemplo.com,Masculino,C,Grande,Área 2,Função 2,Estrategia B,Sim,Proativa,Sim,Regular,Não,Não,Sim,Não,679,Ferramenta A,Time 2,Estrategia 1,Marca A,Jornada 1,Sim,Produto 3
Cliente 145,(11) 933841962,cliente145@exemplo.com,Feminino,C,Grande,Área 2,Função 1,Estrategia A,Sim,Proativa,Não,Boa,Não,Não,Sim,Sim,990,Ferramenta A,Time 1,Estrategia 1,Marca B,Jornada 2,Não,Produto 3
Cliente 146,(11) 976834972,cliente146@exemplo.com,Feminino,B,Pequeno,Área 3,Função 2,Estrategia A,Não,Proativa,Não,Regular,Sim,Sim,Sim,Sim,821,Ferramenta A,Time 1,Estrategia 1,Marca B,Jornada 1,Sim,Produto 2
Cliente 147,(11) 953156515,cliente147@exemplo.com,Masculino,C,Médio,Área 2,Função 1,Estrategia A,Não,Reativa,Sim,Boa,Não,Sim,Não,Não,295,Ferramenta A,Time 1,Estrategia 2,Marca A,Jornada 2,Não,Produto 3
Cliente 148,(11) 932993420,cliente148@exemplo.com,Masculino,C,Grande,Área 2,Função 3,Estrategia B,Sim,Reativa,Não,Regular,Sim,Não,Sim,Não,980,Ferramenta C,Time 1,Estrategia 1,Marca A,Jornada 1,Sim,Produto 3
Cliente 149,(11) 972190751,cliente149@exemplo.com,Feminino,B,Pequeno,Área 2,Função 1,Estrategia A,Sim,Reativa,Sim,Regular,Não,Sim,Não,Sim,197,Ferramenta B,Time 1,Estrategia 2,Marca B,Jornada 1,Sim,Produto 2
Cliente 150,(11) 931970758,cliente150@exemplo.com,Feminino,C,Grande,Área 2,Função 1,Estrategia A,Sim,Reativa,Não,Regular,Sim,Sim,Não,Não,704,Ferramenta C,Time 2,Estrategia 1,Marca B,Jornada 2,Não,Produto 3
Cliente 151,(11) 946513466,cliente151@exemplo.com,Masculino,A,Médio,Área 3,Função 3,Estrategia B,Não,Proativa,Sim,Boa,Sim,Não,Sim,Sim,121,Ferramenta C,Time 1,Estrategia 2,Marca B,Jornada 1,Não,Produto 1
Cliente 152,(11) 941288562,cliente152@exemplo.com,Masculino,A,Grande,Área 1,Função 2,Estrategia B,Sim,Reativa,Não,Regular,Sim,Não,Não,Não,549,Ferramenta C,Time 2,Estrategia 1,Marca A,Jornada 1,Sim,Produto 1
Cliente 153,(11) 931351509,cliente153@exemplo.com,Masculino,B,Grande,Área 1,Função 2,Estrategia B,Sim,Proativa,Sim,Boa,Sim,Não,Não,Não,271,Ferramenta B,Time 2,Estrategia 2,Marca A,Jornada 1,Não,Produto 2
Cliente 154,(11) 933484187,cliente154@exemplo.com,Masculino,B,Grande,Área 2,Função 1,Estrategia A,Não,Proativa,Não,Boa,Não,Sim,Sim,Sim,482,Ferramenta A,Time 2,Estrategia 1,Marca A,Jornada 2,Não,Produto 2
Cliente 155,(11) 971777469,cliente155@exemplo.com,Masculino,B,Grande,Área 1,Função 3,Estrategia B,Não,Reativa,Sim,Regular,Não,Sim,Sim,Sim,233,Ferramenta C,Time 1,Estrategia 1,Marca B,Jornada 1,Não,Produto 2
Cliente 156,(11) 946093880,cliente156@exemplo.com,Feminino,A,Pequeno,Área 1,Função 2,Estrategia B,Não,Reativa,Não,Regular,Não,Sim,Sim,Sim,525,Ferramenta C,Time 2,Estrategia 1,Marca A,Jornada 2,Sim,Produto 1
Cliente 157,(11) 960441204,cliente157@exemplo.com,Feminino,C,Pequeno,Área 2,Função 1,Estrategia A,Não,Reativa,Não,Boa,Não,Sim,Não,Não,124,Ferramenta A,Time 1,Estrategia 2,Marca B,Jornada 1,Não,Produto 3
Cliente 158,(11) 991752859,cliente158@exemplo.com,Feminino,A,Médio,Área 2,Função 3,Estrategia B,Não,Reativa,Não,Boa,Sim,Sim,Não,Não,602,Ferramenta C,Time 2,Estrategia 1,Marca A,Jornada 1,Não,Produto 1
Cliente 159,(11) 954066131,cliente159@exemplo.com,Feminino,B,Pequeno,Área 1,Função 2,Estrategia A,Sim,Reativa,Não,Ruim,Sim,Não,Sim,Não,284,Ferramenta B,Time 2,Estrategia 1,Marca A,Jornada 1,Sim,Produto 2
Cliente 160,(11) 985415325,cliente160@exemplo.com,Masculino,C,Pequeno,Área 3,Função 2,Estrategia A,Sim,Proativa,Não,Boa,Não,Sim,Sim,Não,184,Ferramenta C,Time 2,Estrategia 1,Marca A,Jornada 1,Não,Produto 3
Cliente 161,(11) 945563453,cliente161@exemplo.com,Masculino,C,Médio,Área 2,Função 3,Estrategia B,Não,Reativa,Não,Ruim,Não,Sim,Não,Sim,666,Ferramenta C,Time 2,Estrategia 1,Marca B,Jornada 2,Não,Produto 3
Cliente 162,(11) 944755914,cliente162@exemplo.com,Masculino,A,Pequeno,Área 3,Função 3,Estrategia B,Não,Reativa,Não,Ruim,Não,Sim,Não,Não,862,Ferramenta A,Time 2,Estrategia 2,Marca B,Jornada 1,Sim,Produto 1
Cliente 163,(11) 960873983,cliente163@exemplo.com,Feminino,B,Pequeno,Área 1,Função 3,Estrategia B,Não,Reativa,Não,Ruim,Não,Não,Não,Não,243,Ferramenta C,Time 1,Estrategia 1,Marca B,Jornada 2,Sim,Produto 2
Cliente 164,(11) 963892568,cliente164@exemplo.com,Feminino,A,Médio,Área 2,Função 3,Estrategia B,Não,Proativa,Não,Regular,Não,Não,Não,Não,962,Ferramenta C,Time 2,Estrategia 2,Marca B,Jornada 2,Não,Produto 1
Cliente 165,(11) 933637222,cliente165@exemplo.com,Masculino,C,Médio,Área 3,Função 1,Estrategia B,Não,Reativa,Sim,Regular,Sim,Não,Sim,Sim,778,Ferramenta B,Time 2,Estrategia 2,Marca A,Jornada 1,Não,Produto 3
Cliente 166,(11) 912484413,cliente166@exemplo.com,Masculino,A,Médio,Área 2,Função 3,Estrategia B,Sim,Proativa,Sim,Boa,Sim,Sim,Não,Não,511,Ferramenta A,Time 1,Estrategia 2,Marca B,Jornada 1,Sim,Produto 1
Cliente 167,(11) 980016224,cliente167@exemplo.com,Feminino,A,Grande,Área 1,Função 2,Estrategia A,Sim,Reativa,Não,Ruim,Sim,Não,Não,Não,323,Ferramenta A,Time 1,Estrategia 2,Marca A,Jornada 2,Sim,Produto 1
Cliente 168,(11) 949449976,cliente168@exemplo.com,Feminino,B,Grande,Área 3,Função 2,Estrategia A,Sim,Reativa,Sim,Regular,Não,Não,Não,Sim,319,Ferramenta B,Time 1,Estrategia 1,Marca B,Jornada 2,Não,Produto 2
Cliente 169,(11) 999583549,cliente169@exemplo.com,Masculino,B,Médio,Área 1,Função 1,Estrategia B,Sim,Proativa,Não,Regular,Não,Não,Não,Não,278,Ferramenta C,Time 2,Estrategia 2,Marca B,Jornada 1,Não,Produto 2
Cliente 170,(11) 912235000,cliente170@exemplo.com,Masculino,C,Médio,Área 1,Função 2,Estrategia A,Não,Reativa,Não,Regular,Não,Sim,Sim,Não,730,Ferramenta A,Time 2,Estrategia 2,Marca A,Jornada 1,Não,Produto 3
Cliente 171,(11) 933685747,cliente171@exemplo.com,Feminino,A,Médio,Área 2,Função 2,Estrategia B,Sim,Proativa,Sim,Regular,Não,Não,Sim,Sim,532,Ferramenta A,Time 2,Estrategia 2,Marca A,Jornada 1,Sim,Produto 1
Cliente 172,(11) 947876684,cliente172@exemplo.com,Masculino,A,Grande,Área 3,Função 3,Estrategia A,Não,Proativa,Não,Regular,Sim,Sim,Não,Não,364,Ferramenta C,Time 2,Estrategia 2,Marca B,Jornada 1,Não,Produto 1
Cliente 173,(11) 982931048,cliente173@exemplo.com,Masculino,A,Grande,Área 1,Função 2,Estrategia A,Não,Proativa,Não,Ruim,Sim,Sim,Não,Não,528,Ferramenta C,Time 2,Estrategia 1,Marca B,Jornada 1,Sim,Produto 1
Cliente 174,(11) 939859174,cliente174@exemplo.com,Masculino,C,Pequeno,Área 1,Função 1,Estrategia A,Não,Reativa,Sim,Ruim,Não,Não,Sim,Não,761,Ferramenta A,Time 2,Estrategia 1,Marca A,Jornada 2,Sim,Produto 3
Cliente 175,(11) 946102853,cliente175@exemplo.com,Feminino,C,Pequeno,Área 3,Função 3,Estrategia B,Sim,Reativa,Sim,Ruim,Sim,Sim,Sim,Sim,515,Ferramenta C,Time 1,Estrategia 2,Marca A,Jornada 1,Sim,Produto 3
Cliente 176,(11) 956159303,cliente176@exemplo.com,Feminino,B,Médio,Área 1,Função 3,Estrategia A,Não,Reativa,Não,Ruim,Sim,Não,Não,Não,552,Ferramenta A,Time 1,Estrategia 2,Marca A,Jornada 1,Não,Produto 2
Cliente 177,(11) 922195226,cliente177@exemplo.com,Feminino,B,Grande,Área 1,Função 1,Estrategia B,Sim,Proativa,Sim,Boa,Não,Sim,Não,Não,826,Ferramenta C,Time 2,Estrategia 2,Marca A,Jornada 2,Não,Produto 2
Cliente 178,(11) 957936136,cliente178@exemplo.com,Feminino,B,Grande,Área 3,Função 3,Estrategia A,Sim,Reativa,Sim,Ruim,Não,Não,Sim,Sim,296,Ferramenta C,Time 2,Estrategia 1,Marca A,Jornada 1,Não,Produto 2
Cliente 179,(11) 979062973,cliente179@exemplo.com,Feminino,A,Grande,Área 3,Função 3,Estrategia A,Não,Proativa,Não,Regular,Não,Não,Sim,Sim,653,Ferramenta B,Time 2,Estrategia 1,Marca B,Jornada 1,Sim,Produto 1
Cliente 180,(11) 924421668,cliente180@exemplo.com,Feminino,A,Médio,Área 3,Função 1,Estrategia A,Não,Reativa,Sim,Ruim,Não,Não,Sim,Não,152,Ferramenta C,Time 2,Estrategia 1,Marca B,Jornada 2,Não,Produto 1
Cliente 181,(11) 931200096,cliente181@exemplo.com,Feminino,B,Pequeno,Área 3,Função 3,Estrategia A,Não,Proativa,Sim,Boa,Não,Sim,Sim,Não,579,Ferramenta B,Time 2,Estrategia 1,Marca B,Jornada 1,Sim,Produto 2
Cliente 182,(11) 993375337,cliente182@exemplo.com,Masculino,A,Médio,Área 2,Função 1,Estrategia A,Sim,Proativa,Não,Regular,Não,Não,Sim,Não,542,Ferramenta C,Time 1,Estrategia 1,Marca B,Jornada 2,Sim,Produto 1
Cliente 183,(11) 933234510,cliente183@exemplo.com,Masculino,B,Pequeno,Área 3,Função 1,Estrategia B,Não,Proativa,Sim,Ruim,Sim,Sim,Sim,Não,429,Ferramenta A,Time 1,Estrategia 2,Marca A,Jornada 1,Sim,Produto 2
Cliente 184,(11) 961715898,cliente184@exemplo.com,Masculino,C,Pequeno,Área 2,Função 2,Estrategia B,Sim,Reativa,Sim,Ruim,Sim,Não,Não,Sim,350,Ferramenta A,Time 2,Estrategia 1,Marca A,Jornada 1,Sim,Produto 3
Cliente 185,(11) 955968757,cliente185@exemplo.com,Masculino,B,Médio,Área 2,Função 2,Estrategia A,Não,Proativa,Não,Ruim,Não,Sim,Sim,Não,906,Ferramenta C,Time 1,Estrategia 1,Marca A,Jornada 1,Sim,Produto 2
Cliente 186,(11) 910061087,cliente186@exemplo.com,Masculino,C,Pequeno,Área 2,Função 3,Estrategia A,Não,Proativa,Não,Regular,Sim,Sim,Sim,Sim,989,Ferramenta C,Time 2,Estrategia 2,Marca B,Jornada 2,Sim,Produto 3
Cliente 187,(11) 990705119,cliente187@exemplo.com,Masculino,A,Pequeno,Área 1,Função 3,Estrategia A,Sim,Proativa,Não,Regular,Não,Não,Sim,Sim,882,Ferramenta A,Time 2,Estrategia 1,Marca A,Jornada 2,Não,Produto 1
Cliente 188,(11) 976653416,cliente188@exemplo.com,Masculino,B,Grande,Área 2,Função 1,Estrategia A,Sim,Proativa,Sim,Boa,Não,Não,Sim,Não,222,Ferramenta C,Time 2,Estrategia 1,Marca A,Jornada 2,Sim,Produto 2
Cliente 189,(11) 995382256,cliente189@exemplo.com,Feminino,A,Pequeno,Área 2,Função 3,Estrategia B,Sim,Proativa,Não,Regular,Não,Não,Não,Não,978,Ferramenta B,Time 1,Estrategia 1,Marca B,Jornada 2,Não,Produto 1
Cliente 190,(11) 920274621,cliente190@exemplo.com,Feminino,C,Médio,Área 1,Função 1,Estrategia A,Sim,Proativa,Não,Regular,Não,Não,Não,Sim,486,Ferramenta B,Time 1,Estrategia 2,Marca B,Jornada 1,Sim,Produto 3
Cliente 191,(11) 923022704,cliente191@exemplo.com,Masculino,C,Médio,Área 1,Função 1,Estrategia B,Sim,Reativa,Sim,Ruim,Sim,Não,Sim,Sim,438,Ferramenta B,Time 2,Estrategia 1,Marca B,Jornada 2,Não,Produto 3
Cliente 192,(11) 926816569,cliente192@exemplo.com,Masculino,C,Pequeno,Área 1,Função 3,Estrategia A,Sim,Reativa,Não,Regular,Não,Sim,Não,Não,877,Ferramenta B,Time 1,Estrategia 2,Marca A,Jornada 2,Não,Produto 3
Cliente 193,(11) 917654909,cliente193@exemplo.com,Feminino,A,Grande,Área 3,Função 1,Estrategia B,Não,Proativa,Não,Ruim,Sim,Não,Não,Sim,447,Ferramenta B,Time 1,Estrategia 2,Marca A,Jornada 2,Não,Produto 1
Cliente 194,(11) 947814054,cliente194@exemplo.com,Masculino,A,Grande,Área 1,Função 2,Estrategia A,Não,Reativa,Não,Ruim,Não,Não,Não,Não,128,Ferramenta C,Time 2,Estrategia 1,Marca B,Jornada 1,Não,Produto 1
Cliente 195,(11) 994302960,cliente195@exemplo.com,Masculino,A,Pequeno,Área 1,Função 3,Estrategia A,Sim,Reativa,Não,Regular,Não,Sim,Não,Não,134,Ferramenta C,Time 1,Estrategia 1,Marca B,Jornada 1,Sim,Produto 1
Cliente 196,(11) 925421040,cliente196@exemplo.com,Feminino,A,Pequeno,Área 2,Função 2,Estrategia B,Não,Proativa,Sim,Boa,Não,Não,Não,Sim,617,Ferramenta B,Time 1,Estrategia 1,Marca A,Jornada 2,Sim,Produto 1
Cliente 197,(11) 934210512,cliente197@exemplo.com,Masculino,C,Médio,Área 1,Função 3,Estrategia A,Sim,Proativa,Não,Boa,Sim,Não,Não,Sim,495,Ferramenta C,Time 2,Estrategia 1,Marca B,Jornada 2,Sim,Produto 3
Cliente 198,(11) 982073914,cliente198@exemplo.com,Feminino,C,Pequeno,Área 3,Função 1,Estrategia A,Não,Proativa,Não,Regular,Não,Sim,Sim,Não,722,Ferramenta C,Time 2,Estrategia 2,Marca A,Jornada 1,Sim,Produto 3
Cliente 199,(11) 977922032,cliente199@exemplo.com,Masculino,B,Grande,Área 1,Função 3,Estrategia A,Não,Reativa,Sim,Boa,Não,Não,Sim,Sim,393,Ferramenta B,Time 1,Estrategia 1,Marca B,Jornada 2,Não,Produto 2
Cliente 200,(11) 943779713,cliente200@exemplo.com,Feminino,B,Pequeno,Área 3,Função 2,Estrategia B,Sim,Proativa,Não,Ruim,Não,Não,Sim,Não,688,Ferramenta C,Time 2,Estrategia 2,Marca B,Jornada 2,Não,Produto 2
Cliente 201,(11) 921506305,cliente201@exemplo.com,Feminino,A,Médio,Área 1,Função 1,Estrategia A,Sim,Reativa,Sim,Ruim,Sim,Não,Sim,Não,448,Ferramenta C,Time 1,Estrategia 2,Marca B,Jornada 2,Não,Produto 1
Cliente 202,(11) 930560091,cliente202@exemplo.com,Feminino,C,Médio,Área 1,Função 3,Estrategia A,Sim,Proativa,Sim,Regular,Sim,Sim,Sim,Não,246,Ferramenta C,Time 2,Estrategia 2,Marca A,Jornada 2,Sim,Produto 3
Cliente 203,(11) 996881845,cliente203@exemplo.com,Masculino,C,Médio,Área 1,Função 3,Estrategia B,Não,Reativa,Sim,Boa,Sim,Não,Não,Sim,166,Ferramenta B,Time 2,Estrategia 2,Marca A,Jornada 1,Não,Produto 3
Cliente 204,(11) 917734102,cliente204@exemplo.com,Feminino,C,Médio,Área 1,Função 3,Estrategia B,Sim,Proativa,Não,Boa,Não,Sim,Sim,Não,619,Ferramenta C,Time 2,Estrategia 2,Marca B,Jornada 1,Sim,Produto 3
Cliente 205,(11) 915674719,cliente205@exemplo.com,Masculino,B,Médio,Área 3,Função 2,Estrategia B,Não,Proativa,Sim,Ruim,Sim,Não,Sim,Não,221,Ferramenta A,Time 2,Estrategia 1,Marca A,Jornada 1,Não,Produto 2
Cliente 206,(11) 918658144,cliente206@exemplo.com,Masculino,B,Pequeno,Área 3,Função 2,Estrategia A,Sim,Reativa,Sim,Regular,Não,Sim,Não,Não,439,Ferramenta A,Time 1,Estrategia 2,Marca B,Jornada 2,Não,Produto 2
Cliente 207,(11) 950163712,cliente207@exemplo.com,Masculino,C,Pequeno,Área 2,Função 3,Estrategia A,Não,Reativa,Sim,Boa,Sim,Não,Não,Não,274,Ferramenta B,Time 2,Estrategia 2,Marca B,Jornada 2,Não,Produto 3
Cliente 208,(11) 999386386,cliente208@exemplo.com,Masculino,C,Pequeno,Área 3,Função 1,Estrategia A,Não,Reativa,Não,Regular,Sim,Sim,Sim,Não,999,Ferramenta A,Time 2,Estrategia 1,Marca A,Jornada 1,Não,Produto 3
Cliente 209,(11) 995447809,cliente209@exemplo.com,Feminino,C,Pequeno,Área 1,Função 1,Estrategia B,Sim,Reativa,Não,Boa,Não,Sim,Não,Não,790,Ferramenta B,Time 2,Estrategia 1,Marca A,Jornada 1,Não,Produto 3
Cliente 210,(11) 998917675,cliente210@exemplo.com,Feminino,B,Médio,Área 2,Função 2,Estrategia A,Não,Reativa,Não,Ruim,Sim,Sim,Não,Não,696,Ferramenta A,Time 1,Estrategia 2,Marca A,Jornada 1,Sim,Produto 2
Cliente 211,(11) 954165849,cliente211@exemplo.com,Masculino,C,Grande,Área 2,Função 1,Estrategia A,Não,Reativa,Não,Ruim,Não,Sim,Não,Não,550,Ferramenta A,Time 1,Estrategia 2,Marca A,Jornada 2,Não,Produto 3
